netIncomeToCommon,totalRevenue,grossProfits,returnOnAssets,totalCash,twoHundredDayAverage,fiftyDayAverage,fiftyTwoWeekLow,trailingEps,returnOnEquity,fiftyTwoWeekHigh,enterpriseValue,totalDebt,earningsQuarterlyGrowth,operatingMargins,revenueGrowth
-0.1966450808580862,-0.21990851175228238,-0.1172905765917155,2.1386124909413886,-0.20233393477171527,1.5620154222213165,1.7827703589993915,1.4779534097832618,-0.0731117077828781,1.3467311041828827,1.9024429758858834,0.0006573488709114041,-0.2329638233563466,-0.09197012181613366,-0.13670785249863263,0.07999124385987987
-0.32527224720881887,-0.19252115164325517,-0.1901366720367993,-2.25039844046449,-0.1629030435146757,0.04890945272604356,0.03446848904067824,0.01876068903415928,-3.3334902497932535,-2.514345654637632,0.10130117702067748,-0.08940771721338052,-0.21771152799960503,-0.1372693934420479,-0.5264629348947714,-0.032285094237855215
2.4020421388719493,4.651301840084338,4.803594754193988,-0.5616267727388115,11.13333147404817,-0.030301470380585997,-0.0315381320203943,-0.043175356592078905,-0.0052888384944021405,-0.1365928443823278,-0.03246835265000403,-9.424881071662885,9.500887373471642,-0.16232555306013166,-0.00769555194263268,-0.10586927889883234
1.1389823005525819,1.7283734903264447,1.6764556740226375,-0.46686403887351935,1.5035687897087613,-0.07600476482715053,-0.07458295344381682,-0.08049787662148003,-0.083655824825142,-0.11391385612013301,-0.07867606918301166,1.4312025643513349,2.391453412963499,0.3492730958650369,0.057295819505208366,-0.010520757929678876
0.6611956798366819,0.6943411083543194,0.7216409658644987,-0.447911492100461,0.8232491383340681,-0.0778750506080568,-0.07596043414906513,-0.07960122013198659,-0.08510911302155967,-0.08019045349976914,-0.07958711094787294,3.858092089148504,2.933014832969792,-0.09904813300768277,0.05864311852376219,-0.04990384267780748
1.1430370671497139,2.078910623783568,2.0520432778315776,-0.6274619352136459,8.622627998736801,-0.07461557077747796,-0.07406494210377189,-0.07909967306682028,-0.0799594178907753,-0.14974497140426962,-0.07714559946323368,-12.720505274950431,4.465518425753556,-0.1372693934420479,0.024639963686388867,-0.06994085070755714
0.453726745637302,0.5549877590908718,0.5442200510187981,-0.27035605391075584,0.6855653993653802,-0.016339101046909686,-0.013278866404421255,-0.023677916020179855,-0.02100646627087588,0.0609419864664535,-0.016861985993660927,-0.7165002533071346,0.2753233980364714,-0.1372693934420479,0.047261624726530185,0.03024418944119109
0.060536699115273686,0.47129772465787095,0.5110522673683034,-0.4578865167178601,-0.05513823735860946,-0.053431044228880786,-0.0511332824235138,-0.06275343174037125,-0.06586884102985616,-0.2783154270327055,-0.05446005617927102,1.0189510116543286,0.32779691020307694,-0.12792641866920307,-0.009509242723106654,-0.0937779809498455
-0.008178749219299506,0.6109852277997837,0.47930996022159056,-0.7162396543084986,0.7584567905840973,-0.07627691402036613,-0.07474845468229116,-0.07902226387348271,-0.09182267262457608,-0.47180346642874443,-0.07856545704820511,0.1161508373570953,1.0663563214587395,-0.1372693934420479,-0.030854268021855508,0.00813438747732941
0.05119079728112369,0.2889861181081727,0.34390661989580085,-0.3132486597655722,0.22240763369983463,-0.0668678717179002,-0.06515234775964746,-0.07081688937970088,-0.058507620382784044,-0.16854576836512256,-0.06884968935274202,-0.5154657769294518,-0.011880460106075989,-0.16883732335635684,0.0053064910550508085,-0.15216167676066772
