netIncomeToCommon,grossProfits,totalRevenue,enterpriseValue,operatingCashflow,totalCash,totalDebt,operatingMargins,profitMargins,beta,fiftyTwoWeekHigh,twoHundredDayAverage,fiftyDayAverage,fiftyTwoWeekLow,returnOnEquity,revenuePerShare
-0.1966450808580862,-0.1172905765917155,-0.21990851175228238,0.0006573488709114041,0.06956185661179692,-0.20233393477171527,-0.2329638233563466,-0.13670785249863263,1.1652840220978076,-0.03209534587150542,1.9024429758858834,1.5620154222213165,1.7827703589993915,1.4779534097832618,1.3467311041828827,-0.0675853491132103
-0.32527224720881887,-0.1901366720367993,-0.19252115164325517,-0.08940771721338052,0.020387521849051245,-0.1629030435146757,-0.21771152799960503,-0.5264629348947714,-5.421746549841247,-0.025665547786176805,0.10130117702067748,0.04890945272604356,0.03446848904067824,0.01876068903415928,-2.514345654637632,-0.08214974965473355
2.4020421388719493,4.803594754193988,4.651301840084338,-9.424881071662885,6.066225301711295,11.13333147404817,9.500887373471642,-0.00769555194263268,-0.2389312744942297,-0.029149466754594316,-0.03246835265000403,-0.030301470380585997,-0.0315381320203943,-0.043175356592078905,-0.1365928443823278,0.02380449576305477
1.1389823005525819,1.6764556740226375,1.7283734903264447,1.4312025643513349,-2.925227811418195,1.5035687897087613,2.391453412963499,0.057295819505208366,-0.059084405329129175,-0.028642119669812595,-0.07867606918301166,-0.07600476482715053,-0.07458295344381682,-0.08049787662148003,-0.11391385612013301,-0.0745064082076974
0.6611956798366819,0.7216409658644987,0.6943411083543194,3.858092089148504,0.8121780062754389,0.8232491383340681,2.933014832969792,0.05864311852376219,0.32664763258223656,-0.03403155308331376,-0.07958711094787294,-0.0778750506080568,-0.07596043414906513,-0.07960122013198659,-0.08019045349976914,-0.08236403352677124
1.1430370671497139,2.0520432778315776,2.078910623783568,-12.720505274950431,2.0741658262794855,8.622627998736801,4.465518425753556,0.024639963686388867,-0.18473500877330512,-0.028795241782349053,-0.07714559946323368,-0.07461557077747796,-0.07406494210377189,-0.07909967306682028,-0.14974497140426962,-0.06614216400596765
0.453726745637302,0.5442200510187981,0.5549877590908718,-0.7165002533071346,3.920237900986515,0.6855653993653802,0.2753233980364714,0.047261624726530185,0.19788284163954473,-0.031137941759939405,-0.016861985993660927,-0.016339101046909686,-0.013278866404421255,-0.023677916020179855,0.0609419864664535,-0.034409704455241615
0.060536699115273686,0.5110522673683034,0.47129772465787095,1.0189510116543286,-0.4869934661982737,-0.05513823735860946,0.32779691020307694,-0.009509242723106654,-0.4355170906966264,-0.029495076213373005,-0.05446005617927102,-0.053431044228880786,-0.0511332824235138,-0.06275343174037125,-0.2783154270327055,-0.04134803458327095
-0.008178749219299506,0.47930996022159056,0.6109852277997837,0.1161508373570953,1.6322393831120745,0.7584567905840973,1.0663563214587395,-0.030854268021855508,-0.6679598137487015,-0.031496210431714355,-0.07856545704820511,-0.07627691402036613,-0.07474845468229116,-0.07902226387348271,-0.47180346642874443,-0.06306889979065097
0.05119079728112369,0.34390661989580085,0.2889861181081727,-0.5154657769294518,1.3283048107983035,0.22240763369983463,-0.011880460106075989,0.0053064910550508085,-0.2684299169726057,-0.03138126788426358,-0.06884968935274202,-0.0668678717179002,-0.06515234775964746,-0.07081688937970088,-0.16854576836512256,-0.04317655968954561
