netIncomeToCommon,totalRevenue,grossProfits,totalCash,totalDebt,operatingCashflow,profitMargins,enterpriseValue,returnOnEquity,totalCashPerShare,operatingMargins,enterpriseToRevenue,revenuePerShare,trailingEps,fiftyTwoWeekLow,beta
-0.1966450808580862,-0.21990851175228238,-0.1172905765917155,-0.20233393477171527,-0.2329638233563466,0.06956185661179692,1.1652840220978076,0.0006573488709114041,1.3467311041828827,-0.0687280975659158,-0.13670785249863263,-0.043791051531981436,-0.0675853491132103,-0.0731117077828781,1.4779534097832618,-0.03209534587150542
-0.32527224720881887,-0.19252115164325517,-0.1901366720367993,-0.1629030435146757,-0.21771152799960503,0.020387521849051245,-5.421746549841247,-0.08940771721338052,-2.514345654637632,-0.05827571546167852,-0.5264629348947714,-1.2283318034175617,-0.08214974965473355,-3.3334902497932535,0.01876068903415928,-0.025665547786176805
2.4020421388719493,4.651301840084338,4.803594754193988,11.13333147404817,9.500887373471642,6.066225301711295,-0.2389312744942297,-9.424881071662885,-0.1365928443823278,0.9685536528190297,-0.00769555194263268,-1.361956552214178,0.02380449576305477,-0.0052888384944021405,-0.043175356592078905,-0.029149466754594316
1.1389823005525819,1.7283734903264447,1.6764556740226375,1.5035687897087613,2.391453412963499,-2.925227811418195,-0.059084405329129175,1.4312025643513349,-0.11391385612013301,-0.03584505381114792,0.057295819505208366,0.1283858588323396,-0.0745064082076974,-0.083655824825142,-0.08049787662148003,-0.028642119669812595
0.6611956798366819,0.6943411083543194,0.7216409658644987,0.8232491383340681,2.933014832969792,0.8121780062754389,0.32664763258223656,3.858092089148504,-0.08019045349976914,-0.05732544073052133,0.05864311852376219,2.052127348741755,-0.08236403352677124,-0.08510911302155967,-0.07960122013198659,-0.03403155308331376
1.1430370671497139,2.078910623783568,2.0520432778315776,8.622627998736801,4.465518425753556,2.0741658262794855,-0.18473500877330512,-12.720505274950431,-0.14974497140426962,0.24868171052137814,0.024639963686388867,-3.3555240810692295,-0.06614216400596765,-0.0799594178907753,-0.07909967306682028,-0.028795241782349053
0.453726745637302,0.5549877590908718,0.5442200510187981,0.6855653993653802,0.2753233980364714,3.920237900986515,0.19788284163954473,-0.7165002533071346,0.0609419864664535,0.16238114949712332,0.047261624726530185,-0.7792389242704651,-0.034409704455241615,-0.02100646627087588,-0.023677916020179855,-0.031137941759939405
0.060536699115273686,0.47129772465787095,0.5110522673683034,-0.05513823735860946,0.32779691020307694,-0.4869934661982737,-0.4355170906966264,1.0189510116543286,-0.2783154270327055,-0.04378988490395974,-0.009509242723106654,0.5391540227926618,-0.04134803458327095,-0.06586884102985616,-0.06275343174037125,-0.029495076213373005
-0.008178749219299506,0.6109852277997837,0.47930996022159056,0.7584567905840973,1.0663563214587395,1.6322393831120745,-0.6679598137487015,0.1161508373570953,-0.47180346642874443,0.032551850352025076,-0.030854268021855508,-0.19504289485070472,-0.06306889979065097,-0.09182267262457608,-0.07902226387348271,-0.031496210431714355
0.05119079728112369,0.2889861181081727,0.34390661989580085,0.22240763369983463,-0.011880460106075989,1.3283048107983035,-0.2684299169726057,-0.5154657769294518,-0.16854576836512256,0.0646957388808608,0.0053064910550508085,-0.8155166220288658,-0.04317655968954561,-0.058507620382784044,-0.07081688937970088,-0.03138126788426358
-0.15246086063390726,0.024466949472470093,-0.11875379792758228,0.20724748260183382,0.0261934857190815,0.019508145592581367,-0.6433919933740124,-0.43540917293780834,-0.5988563858009651,-0.0692349070371076,0.023580023950739288,-1.185344437421714,-0.08626265035886509,-0.09981575770487328,-0.08822670076877749,-0.02641318692623738
