symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
GGAL.BA,GPO FIN GALICIA,Argentina,1954209,198.05,ARS,Financial Services,Banks—Regional,0.09575,0.19636999,1218796748.8,0.01774,0.10334,0.1189,1806507868.16,1.2418200000000001,-0.095,1805563650.0,172971622.4,3133288611.84,2.12471,1415727513.6000001,139.294,2920623636.48,717892976.64,17.690935,-0.81,18.492064,,1.6574855,1.4218128,0.397,2.571556,2.2,0.9500000000000001,1.7117714000000002,1.4245595,0.0051067034,
BMA.BA,BANCO MACRO S.A.,Argentina,255859,353.55,ARS,Financial Services,Banks—Regional,0.25242,0.34778,1007879864.32,0.03591,0.15809,0.47339,905307668.48,1.41583,-0.075,912534700.0,228520140.8,2559924797.44,4.003550000000001,456306565.12,231.586,2260075315.2,-107987240.96000001,7.4684715,-0.772,32.43578,,2.4964721,1.5266466,-0.119,2.168877,3.7725,1.835,2.9547570000000003,2.511084,0.044343635,
SUPV.BA,GRUPO SUPERVIELLE,Argentina,421519,87.25,ARS,Financial Services,Banks—Regional,0.032479998,0.027520001,482589163.52,0.00459,0.0342,0.0665,387196436.48,0.84777,-0.159,416497110.0,12577479.68,706582200.32,1.54707,87743457.28,89.182,398489927.68,-219304120.32,13.1203,,9.651548,,1.0291673,0.97833645,-0.566,2.4262,1.04,0.485,0.7969571999999999,0.6597447,0.009413735,
BHIP.BA,BCO HIPOTECAR SA,Argentina,167540,9.95,ARS,Financial Services,Banks—Regional,0.000120000004,0.05217,-173286400.0,0.00017999999,0.0014399999,2e-05,211160739.84,0.14359,-0.033,209359650.0,25120.0,567056506.88,0.38549999999999995,174082908.16,12.335,149249996.8,-236770590.72,4974.9995,,8.22314,,0.7068075,0.8066477,-1.121,2.241075,0.114,0.075,0.09682941,0.08929788000000001,,
