,symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
33,ALBAV.HE,ALANDSBANKEN ABP (BANK OF ALAND,Finland,1846,29.6,EUR,Financial Services,Banks—Regional,0.22732,0.28584,437456199.424,0.0059399996,0.12477,2.61516,179751020.0,11.531441999999998,0.215,171151620.0,40860108.0,957478400.0,61.36908799999999,2497360000.0,19.1,525577422.4,2054498043.3920002,13.333332999999998,0.593,,,2.9239189999999997,1.5497382,11.43,0.340519,36.0468,21.793000000000003,34.901521306,33.730066274,0.033557046,
34,CIV.PA,CRCAM ILLE-VIL.CCI,France,201,72.29,EUR,Financial Services,Banks—Regional,0.107930005,0.15978,113479096.0,0.00135,0.01107,4.05232,227226776.0,37.54875,0.011000000000000001,227226776.0,24523604.0,1127010279.424,186.239444,685604217.7279999,308.063,515275143.296,89614229.6,21.014534,0.151,,,2.2676692000000003,0.2346598,0.39399999999999996,0.907407,108.965,71.85799999999998,85.84511257999998,94.31632262,0.026006362999999998,
35,CAT31.PA,CA TOULOUSE 31 CCI,France,152,88.51,EUR,Financial Services,Banks—Regional,0.15389,0.23906,475140400.576,0.00266,0.022130001,9.091804,271206228.0,59.081412,0.053,271206228.0,41735362.0,477226648.0,103.962034,1006069750.272,346.905,477272033.984,1064205426.1760001,11.467998,0.322,,,1.7598122,0.2551419,3.924,0.43449399999999994,124.279,85.994,106.700295,111.77379963999998,0.03668297,
36,CCN.PA,CRCAM NORM.SEINE,France,220,93.76,EUR,Financial Services,Banks—Regional,0.26868000000000003,0.35559,1013971736.5760001,0.00496,0.04167,11.20278,447945111.424,74.02316400000001,0.406,378451348.0,120353904.0,2101209267.968,347.22727999999995,1299424696.576,399.158,385273588.92800003,-113753409.79200001,9.859096000000001,2.5980000000000003,,,0.8600911,0.23489447,-0.254,0.91358,137.826,97.185,113.61057258,124.15121645,0.03828877,
37,CNF.PA,CRCAM NORD CCI,France,1940,20.0,EUR,Financial Services,Banks—Regional,0.18722999,0.26661999999999997,1110927054.848,0.0031299999,0.02271,2.056788,636091728.0,10.983672,0.161,636091728.0,119095800.0,1175489672.576,20.299296,2154269856.0,78.543,381401041.152,2408594514.688,11.454753,0.263,6.451613,,0.5996007,0.2546376,3.787,0.9176469999999999,28.1542,17.3755,23.70653142,25.602234988000003,0.0525105,
38,CRBP2.PA,CRCAM BRIE PIC2CCI,France,3500,20.45,EUR,Financial Services,Banks—Regional,0.24761,0.36023998,905585181.6960001,0.0038400001,0.03165,2.795394,612923992.576,11.287596,0.057999999999999996,612924002.0,151765274.0,3162919369.728,58.247388,1960951800.576,74.882,376330740.672,250097127.68,8.6177845,0.26,,,0.6139925,0.27309632,0.408,0.8087340000000001,28.0364,18.6124,24.397361274,25.944263754,0.039254658,
39,CPA1T.TL,Coop Pank,Estonia,211423,3.325,EUR,Financial Services,Banks—Regional,0.30908,0.30267,-211473391.42400002,0.01061,0.090450004,0.10602,32902718.0,0.36518,0.37200000000000005,30373552.0,10169674.0,286206880.0,3.158218,41798974.0,1.1079999999999999,354960237.44,-13283516.739999998,36.944443,0.94,,,10.788174,3.0009023999999997,-0.40399999999999997,,5.301,1.227476,4.1664176638,2.920137721,,
40,ADKO.VI,ADDIKO BANK AG,Austria,7257,13.9,EUR,Financial Services,Banks—Regional,0.09328,0.16193001,223702200.0,0.0033200000000000005,0.023510002000000002,0.8917459999999999,248793600.0,12.758918,0.26,224173400.0,23206600.0,1108733600.0,56.858526,26622800.0,43.646,319296881.152,-753625518.8479999,18.361954,,,,1.2833806,0.31847134,-3.029,1.4708299999999999,17.493299999999998,7.69234,16.685061242,16.031434984,0.17132618,
41,CMO.PA,CRCAM MORBIHAN CCI,France,281,75.45,EUR,Financial Services,Banks—Regional,0.28433,0.36376998,,,,12.176986,224599836.0,42.826190000000004,-0.165,235555236.0,63860558.0,276310511.424,52.68605,519546288.576,315.2,141436673.664,672603922.816,7.2990227,0.267,,,0.6297274,0.2393718,2.995,0.603254,104.84200000000001,67.146,85.36573725999997,89.01671265999998,0.03538663,
42,CRSU.PA,CRCAM SUD R.A.CCI,France,135,150.98,EUR,Financial Services,Banks—Regional,0.23853001,0.30104000000000003,,,,12.308922,466260655.424,88.216886,0.40399999999999997,401117246.0,111217336.0,,,,573.381,115162882.08,847472651.1359999,14.449228,4.694,,,0.24699250000000003,0.26331532,1.818,0.5288510000000001,212.04,150.784,180.61357516,190.16715516,0.035369128,
