symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
QNBK.QA,Qatar National Bank QPSC,Qatar,2310764,19.3,QAR,Financial Services,Banks—Diversified,0.62891996,0.69104,-2976663101.44,0.012250001,0.13175,0.32564000000000004,5513542451.200001,0.59696,0.158,5430045600.000001,3187576340.4800005,29797669601.280003,3.2261600000000006,48131090022.4,10.007,49913662668.8,64678192087.04001,16.595013,0.227,1.2371794,,9.05292,1.9286499,11.731,0.385581,5.488000000000001,4.578000000000001,5.2915198000000006,5.0496922,0.02368421,
QIBK.QA,Qatar Islamic Bank QPSC,Qatar,1046780,18.19,QAR,Financial Services,Banks—Regional,0.48035,0.48146,-3342821457.9200006,0.01812,0.14212,0.34636000000000006,1823127326.7200003,0.77168,-0.095,1865843000.0000002,818339164.1600001,3121821122.5600004,1.3210400000000002,7512843304.960001,9.369,12034874736.640001,15854923284.480001,14.704932,0.091,1.6642269,,6.6012254,1.9415092,8.697,0.233023,5.236000000000001,4.3484,5.00752,4.811105040000001,0.021990104,
MARK.QA,Masraf Al Rayan QPSC,Qatar,4526036,4.442,QAR,Financial Services,Banks—Regional,0.48828998,0.49091,-2359711191.0400004,0.01885,0.16466999,0.08232,1263324733.44,0.16856000000000002,-0.139,1312999240.0000002,616867184.6400001,2681248604.1600003,0.35756,8787293634.560001,1.823,9328200089.6,15568046161.920002,15.108843,0.051,1.5370241,,7.3838496,2.436643,12.323,0.457286,1.3020000000000003,1.1438000000000001,1.2522879600000003,1.2318199600000002,0.03803132,
CBQK.QA,The Commercial Bank PSQC,Qatar,1556107,6.03,QAR,Financial Services,Banks—Regional,0.57894003,0.54122,-3111468523.5200005,0.0113,0.07535,0.08848,835387822.08,0.20636000000000002,0.091,745455200.0000001,421201213.44000006,1373057495.0400002,0.33936000000000005,13169898291.2,5.785,6833377116.160001,18052278845.440002,19.08228,0.452,1.5461539,,8.179886,1.042351,21.609,0.421395,1.74692,1.0925600000000002,1.6426239200000001,1.48624,0.016705647,
QIIK.QA,Qatar International Islamic Ban,Qatar,645994,9.74,QAR,Financial Services,Banks—Regional,0.44046003,0.48834,-252684597.76000002,0.0155299995,0.121149994,0.15596000000000002,604774768.6400001,0.39956,-0.09,618520280.0,236069675.52,1875855851.5200002,1.2392800000000002,713073500.1600001,5.288,4128135208.9600005,2780130017.28,17.486536,0.051,1.708772,,6.8259053,1.8419061,4.597,0.568372,2.7272000000000003,2.29768,2.6774000400000006,2.59764036,0.033498246,
ABQK.QA,Ahli BanK QPSC,Qatar,26301,3.88,QAR,Financial Services,Banks—Regional,0.68116,0.68116,-379293035.52000004,0.014529999,0.10614,0.07896,282082644.48,0.11620000000000001,0.03,279913480.0,192143006.72000003,1560662548.4800003,0.6423200000000001,3471814778.88,2.96,2639582740.48,4403791831.04,13.758865,0.034,1.1345029,,9.35748,1.3108108,15.612,0.138604,1.2096000000000002,0.8822800000000001,1.09424,1.056588792,0.040000003,
DHBK.QA,Doha Bank QPSC,Qatar,2295314,2.767,QAR,Financial Services,Banks—Diversified,0.48776,0.49032003,-3368657510.4,0.00751,0.05947,0.050120000000000005,468800926.72,0.15120000000000003,0.146,440108200.00000006,171824235.52,1751613337.6000001,0.56504,9392967270.400002,4.502,2402120089.6000004,10072988549.12,15.4581,0.326,1.1577405,,5.123966,0.61461574,21.487,0.623784,0.8260000000000002,0.6115200000000001,0.7889360080000001,0.7374436440000001,0.026910659,
KCBK.QA,Al Khalij Commercial Bank PQSC,Qatar,502259,2.229,QAR,Financial Services,Banks—Regional,0.64182,0.69495004,-1709429370.88,0.01202,0.09945,0.04956,301517153.28000003,0.08372,0.076,291093600.0,178119208.96,2483605626.88,0.6899200000000001,4781158359.040001,2.089,2246832107.52,4535312875.52,12.593221,0.046,1.4474027,,7.4517555,1.0670178,15.042,0.258692,0.644,0.4368000000000001,0.6188319760000001,0.608663188,0.025454545,
QFBQ.QA,Qatar First Bank LLC,Qatar,2310365,1.836,QAR,Financial Services,Banks—Regional,-0.10673001,0.32326,5088160.000000001,0.01022,0.02611,-0.005880000000000001,38286357.760000005,0.05460000000000001,,-29955240.000000004,12684000.000000002,232935360.00000003,0.33264,,0.709,359856000.00000006,148642762.24,,,,,9.399066,2.5895627,3.882,0.903569,0.56532,0.34216,0.51100798,0.522593568,,
