symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
BMAS.JK,Bank Maspion Indonesia Tbk.,Indonesia,333367,1280,IDR,Financial Services,Banks—Regional,0.23189,0.30429,-158082143.9,0.00758,0.05331,0.001059384,20300326.44,0.004568598,0.217,19876199.71,4707423.139,101932883.6,0.02293997,1777235.47,289.023,399693771.2,457230003.1,84.90879,0.667,,,19.689032,4.4287133,22.523,0.596162,0.176388334,0.017428011,0.095913686,0.098467347,,
MCOR.JK,Bank China Construction Bank In,Indonesia,55801783,133,IDR,Financial Services,Banks—Regional,0.087469995,0.09985,-454280977.4,0.00227,0.01134,0.000134505,40154205.66,0.001537741,-0.006,39748443.41,3512235.983,513306072.9,0.013536645,29907731.23,158.67,155445867.9,-104999570.4,69.48798,-0.717,,,3.8712225,0.8382177,-2.615,1.125628,0.016022526,0.007238246,0.009599887,0.009869232,,
SDRA.JK,Bank Woori Saudara Indonesia 19,Indonesia,471621,740,IDR,Financial Services,Banks—Regional,0.38312,0.49269,-61504360.99,0.014529999,0.07952,0.006073802,104332999.1,0.015853446,0.157,96934454.78,39972053.83,198022963.2,0.030090444,725024757.2,1119.299,342227690.1,843793478.7,8.561842,0.248,,,3.280148,0.6611281,8.088,0.623551,0.082923599,0.043218655,0.058366626,0.052373681,,1.46
NOBU.JK,Bank Nationalnobu Tbk.,Indonesia,5198201,1100,IDR,Financial Services,Banks—Regional,0.11191,0.14734,-142140886,0.00507,0.04191,0.000977725,38774091.58,0.008736985,-0.029,36232623.35,4339153.002,312920842.1,0.07051085,118279765.6,334.763,343057820.9,59533698.44,79.062744,0.187,,,8.847605,3.2859068,1.535,-0.113293,0.137386132,0.048489223,0.085106352,0.07504429,,
BKSW.JK,Bank QNB Indonesia Tbk.,Indonesia,104551912,220,IDR,Financial Services,Banks—Regional,0,-3.7694101,158577123.7,-0.02777,-0.13775,-0.001898318,7325386.203,0.000358469,,12053788.43,-38795663.7,232888677.4,0.0113956,108731953.5,192.963,315958145.9,148716046.1,,,,,43.131943,1.1401149,20.301,-0.132558,0.027547501,0.004708374,0.017355607,0.014846436,,
PNBS.JK,Bank Panin Dubai Syariah Tbk.,Indonesia,267184409,103,IDR,Financial Services,Banks—Regional,0.00365,0.03179,-102493058.8,8.00E-05,0.00035,-5.41E-06,16434804.29,0.000355447,0.23,15407763.47,60050.6012,29187132.87,0.000752005,231806.1065,80.087,280942403.2,298356562,,,,,17.094357,1.2861013,18.154,0.759946,0.012227717,0.003513712,0.008230353,0.00856141,,
AGRS.JK,Bank IBK Indonesia Tbk.,Indonesia,112499972,254,IDR,Financial Services,Banks—Regional,0.028889999,0.00503,-291146092.6,0.0012,0.0066,5.83E-05,25688466.97,0.002019752,,12029192.44,742025.6323,113699290.2,0.010146405,288867516,182.118,273096173.2,411412943.9,306.0241,,,,10.631081,1.3947002,16.015,0.388038,0.044264319,0.00756611,0.019770486,0.022709033,,
DNAR.JK,Bank Oke Indonesia Tbk.,Indonesia,26947406,332,IDR,Financial Services,Banks—Regional,0.047140002,0.09694,-162490594.8,0.00217,0.00542,8.83E-05,18331219.39,0.001874214,0.191,16386181.98,864078.0883,92260502.21,0.008080694,660302.4656,221.835,266379891.6,78497605.4,264.12094,1.313,,,14.531487,1.4966078,4.282,-0.151135,0.037596717,0.011314152,0.022832739,0.017805166,,
BNBA.JK,Bank Bumi Arta Tbk.,Indonesia,30737151,1420,IDR,Financial Services,Banks—Regional,0.13723,0.24343,56931180.76,0.00533,0.02744,0.001258401,21182632.85,0.009169945,0.007,20522639.06,2906940.727,134077295.2,0.058042092,193176.118,660.172,230513569.7,100687770.3,79.2986,0.679,,,10.882196,2.1509547,4.753,-0.130551,0.233310465,0.022487756,0.098852421,0.09730454,,
BACA.JK,Bank Capital Indonesia Tbk.,Indonesia,177137530,438,IDR,Financial Services,Banks—Regional,-0.00871,0.01698,-74774318.13,-0.00019,-0.00188,-3.65E-05,29640338.65,0.004191858,0.112,26870408.46,-258046.9966,185058410.1,0.026170969,160214081.5,229.195,217650208.5,192805972,,-0.627,,,7.3430405,1.9110364,6.505,-0.642302,0.066057782,0.026142016,0.032930932,0.033187135,,
BGTG.JK,Bank Ganesha Tbk.,Indonesia,381038098,246,IDR,Financial Services,Banks—Regional,-0.03737,0.0368,62050111.84,-0.00107,-0.00481,-3.44E-05,10278309.89,0.000919749,-0.256,10871213.57,-384118.968,186382728.6,0.016678466,2471474.729,101.6,193189130.6,-80249175.47,,-0.851,,,18.795807,2.4212599,-7.808,1.023643,0.024174337,0.003513712,0.018160568,0.012569483,,
INPC.JK,Bank Artha Graha Internasional ,Indonesia,65774837,158,IDR,Financial Services,Banks—Regional,0.021659998,0.04638,-39302203.39,0.00061,0.00491,9.51E-05,54218822.08,0.003432405,-0.208,56095636.32,1174563.617,641830627.3,0.040278873,14055268.43,225.341,175390413.2,-457566167.2,116.77753,-0.422,,,3.234862,0.70115954,-8.439,0.825581,0.022487756,0.003513712,0.012076521,0.01265189,,
AMAR.JK,Bank Amar Indonesia Tbk.,Indonesia,13533698,300,IDR,Financial Services,Banks—Regional,-0.0318,0.0221,21282772.37,-0.00223,-0.0085,-8.17E-05,20623915.24,0.002566696,0.022,20186040.72,-655949.3398,165406239.9,0.020585432,631856.4261,133.99,169398151.8,-23609262.17,,-0.918,,,8.2136755,2.238973,-1.145,,0.048137852,0.015600881,0.021661501,0.020970539,0.012993197,
BVIC.JK,Bank Victoria International Tbk,Indonesia,33660969,162,IDR,Financial Services,Banks—Regional,-0.76263,-0.2169,17325676.91,-0.00928,-0.083579995,-0.001948002,20999249.05,0.002345754,0.18,19905901.4,-16014665.94,151953099.3,0.015364478,143471910.1,278.667,101912822.1,106195607.6,,18.592,,,4.853165,0.58133906,5.057,-0.192749,0.022487756,0.004216454,0.012163832,0.012475446,,
BCIC.JK,Bank JTrust Indonesia Tbk.,Indonesia,3250875,238,IDR,Financial Services,Banks—Regional,0,-24.31942,-236805280.2,-0.027520001,-0.30937,-0.003400219,1570840.041,0.000156922,,-1722772.909,-32562763.04,168470034.5,0.016826604,23485931.69,144.148,33868836.92,180076501.6,,,,,21.56097,1.6510808,114.637,-0.477011,0.084680455,0.016725268,0.03593569,0.046107988,,
BEKS.JK,Bank Pembangunan Daerah Banten ,Indonesia,379197408,101,IDR,Financial Services,Banks—Regional,0,-35.75493,1489251.585,-0.0454,-0.32792,-0.002364025,587562.8874,2.11E-05,-0.531,2376112.487,-21773908.99,142368784.2,0.003247302,58131201.66,148.638,45502913.96,226942120.9,,,,,77.44348,0.6795032,386.243,-0.535366,0.011806072,0.0046381,0.007238246,0.006477869,,
