symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
DNB.OL,DNB BANK ASA,Norway,976021,185.7,NOK,Financial Services,Banks—Regional,0.41401002,0.50797004,-3033924971.2686744,0.0069199996,0.08405,1.4004521381708956,5429545550.068769,3.299070429215082,0.272,5114816220.061655,2246403416.571022,71746865511.54533,46.27742411667062,138628809635.15927,160.142,33510253322.987907,100635698291.01889,15.433844,0.438,12.479838,,6.171834,1.1595958,18.535,,22.458214765631176,20.22345071535847,21.828082303770454,21.576827316022452,0.048012804,
SRBNK.OL,SPAREBANK 1 SR BK,Norway,150236,115.0,NOK,Financial Services,Banks—Regional,0.42963,0.5072,-1939472578.7874477,0.0072600003,0.08238,0.9658370879772351,565674680.0221326,2.338703857402577,0.778,489669393.72381634,233602687.07928228,1097595007.0792823,4.2922600980159675,16419113498.26575,100.35,3422796561.6251683,18878274080.41736,13.858761,2.249,,,6.050822,1.1459891,33.373,1.038142,14.421211761916055,8.48511975337918,13.737074131689194,13.158741638210419,0.02705061,
BANO.OL,BANK NORWEGIAN ASA,Norway,307604,104.7,NOK,Financial Services,Banks—Regional,0.59378,0.67504996,164341747.35277843,0.03822,0.22659999,,446133515.7568572,2.4300731167496643,0.02,444172507.50928783,264905801.84965616,250490501.03865308,1.3401600663979132,862629650.2727058,,,2861553984.8549523,,0.098,,,,,6.414,,12.19808710773852,11.744150660026877,12.073286709351041,12.067617625088927,,
MING.OL,SPAREBANK 1 SMN,Norway,108373,124.8,NOK,Financial Services,Banks—Regional,0.38105,0.49548998,-1719604334.4051855,0.01275,0.11675999,1.2812647221563513,709886745.4967988,5.487742470950914,0.091,620263417.9116275,169236819.2237768,4174003856.0366774,32.266617461070275,5750909149.619793,161.2,1885993423.5965538,3582588508.152715,11.337209,0.064,12.905894,,2.6567526,0.7741936,5.047,1.026225,15.038099754960081,9.008892577661847,14.608088551497907,13.726081420441073,0.0104,4.51
NONG.OL,SPAREBK 1 NORD-NOR,Norway,92151,89.3,NOK,Financial Services,Banks—Regional,0.47345,0.58300996,-301227570.9430085,0.015470001,0.12661,0.9681649671962691,449397075.7853134,4.492923286696704,0.156,433916686.4279504,96839775.51181725,182156541.44020236,1.8143490633151529,2923932626.0248203,151.514,1043555671.0331199,3722334799.9304404,10.735754,0.224,13.017493,,2.3221238,0.5893845,8.283,0.868347,10.46381708955814,7.053474033673228,10.150200545411431,9.881524175164019,0.043869518,5.37
KOMP.OL,KOMPLETT BANK ASA,Norway,302483,8.17,NOK,Financial Services,Banks—Regional,0.36668998,0.49023,-3945755.276262746,0.02506,0.13272001,0.1638826970199984,88750391.50106712,0.4698824203620267,0.167,85677594.65654889,31463019.5873844,132886981.49395305,0.711167101414908,12430875.029641926,12.405,177725689.65615368,59623899.66959134,5.802557,0.366,3.1064637,,2.0025342,0.6586054,0.672,1.921436,1.2710220535926013,0.714658920243459,0.9808777483993362,1.0867881634851,0.08610086,
BRA.OL,BRABANK ASA 'NEW',Norway,108257,9.1,NOK,Financial Services,Banks—Regional,1.65953,0.38034,,0.07762,0.46792,0.4402019603193424,29657762.289147105,0.2504798039680658,1.204,17930838.866492767,49218000.21500277,5824702.987906095,0.06145601138249941,12171316.496719627,13.412,100396663.2202988,105427385.26914869,2.4061344,1.352,,,3.3851733,0.6784969,3.555,0.650081,1.2803335704687377,0.5819698047585171,1.0346775978183542,1.0449995306695123,,
INSTA.OL,INSTABANK ASA,Norway,449389,2.11,NOK,Financial Services,Banks—Regional,0.27504,0.36729,,0.01349,0.08959,0.016877124337996995,21735058.155086555,0.06145601138249941,0.488,19812230.8513161,5978110.22844044,188907.39862461467,0.0005819698047585172,7464693.897715596,1.796,81693960.12963402,80839080.9390562,14.5517235,1.624,,,3.7586262,1.1748329,3.719,1.370703,0.2793455062840882,0.10826966247727453,0.24840411554422578,0.22393632412457515,,
