,symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
14,AXISBANK.NS,AXIS BANK,India,7064823,807.35,INR,Financial Services,Banks—Regional,0.28702,0.30484,,0.0088,0.0879,0.378066483,4009156410,1.320496432,0.566,3597602689,1150710457,9179363258,2.994650835,21933969769,346.025,33720592929,46469702865,29.070646,1.144,,,8.410894,2.3332129,11.591,1.344997,11.1723737,5.447331958,10.44196756,10.00265735,0.001245951,
15,INDUSINDBK.NS,INDUSIND BANK LTD,India,3820614,1130,INR,Financial Services,Banks—Regional,0.26382,0.35337,,,,0.620613312,1772882981,2.357769719,0.364,1645327106,467725909.4,7706432818,9.96571106,6986689730,568.756,11907152585,11175814588,24.78668,0.991,11.700145,0.94,6.716265,1.9867923,6.304,1.945266,16.15209139,6.602414094,13.81532415,13.44975243,0.004421062,
16,BANDHANBNK.NS,BANDHAN BANK LTD,India,5709776,287.25,INR,Financial Services,Banks—Regional,0.38251,0.5114,-2972485723,0.021340001,0.13529,0.186365049,784912764.4,0.487571264,-0.298,784912780,300233822.1,712704922.5,0.442702075,2308851683,108.133,6298362143,9094602163,20.98247,-0.801,13.652566,,8.024283,2.6564507,11.587,1.791341,5.86321598,3.422364749,3.918547739,4.268067562,0.003359651,
17,PNB.NS,PUNJAB NATL BANK,India,62620623,39.75,INR,Financial Services,Banks—Regional,0.13942,0.12315,,0.0026,0.03558,0.035938914,3117210427,0.310871605,0.038,3085872674,434614475.8,6428227538,0.599730625,6936149075,88.467,5958335054,6027149747,15.056818,1.173,2.9819956,-0.12,1.9114318,0.44932008,1.934,1.25862,0.630972976,0.358027816,0.514712264,0.527824413,0.078947365,
18,IDBI.NS,IDBI BANK LTD,India,12336248,39.15,INR,Financial Services,Banks—Regional,0.17482,0.28687,-687398407,0.00511,0.04216,0.019603044,1178959694,0.112132134,,1178959732,206100137.6,4806573749,0.450815557,2165598591,35.292,5730575578,2976900112,27.1875,2.845,6.345219,,4.8607054,1.1093166,2.525,0.987019,0.612595122,0.358708477,0.520686931,0.515057291,0.017793594,
19,IOB.NS,INDIAN OVERSEAS BK,India,16622877,21.85,INR,Financial Services,Banks—Regional,0.15375,0.15546,,0.00383,0.05495,0.006942745,918519862.9,0.055923128,0.252,871441065,141226350.4,1474193844,0.085749704,471582505.9,10.174,5622499763,3455714158,42.84314,1.706,-2.04588,,6.121261,2.1476314,3.762,1.072944,0.394783523,0.115712412,0.279279094,0.266904291,,
20,AUBANK.NS,AU SMALL FINANCE B,India,1846696,1116.4,INR,Financial Services,Banks—Regional,0.37558997,0.46793,-647892108.6,0.02498,0.2198,0.515396696,424315144.6,1.384192711,0.285,424315154.8,159367930.7,650893935.8,2.114705588,956968342.7,203.877,4754222909,4567997770,29.487585,0.381,52.63555,,11.204462,5.4758506,10.766,1.048543,18.92034068,8.395275818,16.88769697,15.4330531,0.000650392,
21,YESBANK.NS,YES BANK,India,129265127,13.25,INR,Financial Services,Banks—Regional,-2.1596699,-2.95259,,,-0.120670006,-0.022461821,209223019.3,0.008481039,0.261,157304585,-451852887.3,3992112210,0.156742672,8705531905,13.704,4525830894,9099539356,,4.984,0.50981146,,21.63161,0.96687096,43.492,1.157674,0.282474417,0.142938862,0.159482715,0.184638811,0.13605443,
22,IDFCFIRSTB.NS,IDFC FIRST BANK,India,35342728,49.15,INR,Financial Services,Banks—Regional,-0.032780003,-0.066479996,,,,0.011843506,988712490.9,0.171131851,-0.199,1030784271,-32407766.13,785908410.8,0.127787342,6232962624,31.374,4152934537,8946690677,56.494255,,,,4.200346,1.5665839,9.049,1.271883,0.943396488,0.36551509,0.628288176,0.737973849,0.014720314,
23,CANBK.NS,CANARA BANK,India,14139830,162.75,INR,Financial Services,Banks—Regional,0.08986,0.120670006,-6302985743,0.00308,0.05624,0.260148729,4378891412,2.894920349,6.46,4378891192,393503885.2,24349482976,14.78343136,6808354821,378.911,3650831643,-14030573817,8.516483,,3.9531214,1.46,0.8337342,0.42952037,-3.204,1.208159,2.376869074,1.119687751,2.132095802,2.062758202,0.005997002,
