symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
0011.HK,HANG SENG BANK,Hong Kong,1347167,136.6,HKD,Financial Services,Banks—Regional,0.49754003,0.59461,-4724796306.006914,0.00923,0.09056,1.640625579391652,4211795429.459379,2.2029605959145386,0.1,4014586382.523911,2005494590.7833917,16903839178.723318,8.841648580558614,7718520000.680545,95.771,33552187761.346256,24476728255.616795,10.696946,-0.041,10.764382,,7.9662433,1.426319,5.811,0.689851,21.416780272873012,14.132248530390113,18.400474085788133,19.471561056156,0.040145986,4.2
2388.HK,BOC HONG KONG,Hong Kong,9885190,23.35,HKD,Financial Services,Banks—Regional,0.52285,0.66137004,-51473247960.22815,0.00733,0.08153,0.3910778593318864,6199303752.34036,0.5863598390245498,-0.128,6650250733.441667,3064642347.753214,64922649132.78903,6.1405904614411435,4960804683.794046,29.678,31717247172.846184,-27493079992.737343,7.6708283,-0.166,6.80758,,5.1162596,0.7867781,-4.435,1.006271,3.796435855209344,2.575923482130198,3.141927101896587,3.417615537402798,0.053190578,4.6
0023.HK,BANK OF E ASIA,Hong Kong,4831652,12.68,HKD,Financial Services,Banks—Regional,0.33336,0.35152,121280387.38807514,0.00551,0.04356,0.11434273810952,1831796343.06704,0.6281142096825205,0.332,1581527085.5372934,507861613.9651655,14439174903.464895,4.946672410596459,3176415668.353927,38.688,4755218393.492927,-6493154142.723712,14.247191,0.743,5.7375565,,2.5959318,0.3277502,-3.545,0.608323,2.505262239478247,1.5468388391445176,1.6629659663434795,1.9380903966583414,0.031055901,2.99
2356.HK,DAHSING BANKING,Hong Kong,1450295,7.6,HKD,Financial Services,Banks—Regional,0.37932998,0.33810002,,0.0066500003,0.05706,0.20427522875745707,561386472.3351254,0.39930025847684064,0.14,524340209.39895946,212953066.59105033,3252069897.107458,2.3134490844248616,811167039.7940909,20.871,1372588243.5432045,-1077342873.8105156,4.779874,0.174,4.6625767,,2.444997,0.3641416,-1.919,1.323261,1.4466283495653878,0.8325179134266175,0.995574062557939,1.0839036350350633,0.0397351,3.74
0440.HK,DAH SING,Hong Kong,395469,24.1,HKD,Financial Services,Banks—Regional,0.27629998,0.32519,,0.00671,0.04873,0.6783479294587255,601964012.1154747,1.8837002541143621,0.129,565683331.6246959,166324745.50392073,3211986424.846931,10.050855154813448,812097223.3645613,88.824,989483249.9870214,-447674869.13917387,4.564394,0.183,4.487896,,1.6437582,0.27132308,-0.744,1.162485,4.3039120524369885,2.376787252838337,3.136930838141147,3.294026326029817,0.038923398,3.98
0626.HK,PUBLIC FIN HOLD,Hong Kong,175212,2.52,HKD,Financial Services,Banks—Regional,0.33848,0.42468,108333192.13445157,0.01121,0.060760003,0.054601869321961795,190628364.8933919,0.17356970695051854,0.187,176137279.55851716,64523608.143002026,1053247429.1225964,0.9593227252402088,215684185.80144176,7.528,355459248.47585905,-503263023.4609721,5.9294114,0.746,,,1.8646713,0.33475026,-2.64,0.813692,0.3443129641949591,0.21969222715424627,0.3182967794003773,0.3081692760685345,0.059523813,6.67
