symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
SEB-A.ST,Skandinaviska Enskilda Banken s,Sweden,2553489,122.9,SEK,Financial Services,Banks—Regional,0.40276,0.53281,-931700294.4275402,0.00577,0.11691,1.033547014859236,5589969903.110297,2.584911524031786,0.535,5056724468.996484,2251415765.9295144,87371144390.04814,40.38187665553947,117642241195.08511,80.811,30818670861.690742,58016581016.16614,13.79349,1.555,14.475855,,5.513209,1.5208327,10.379,1.114427,14.418618849270823,8.764849881342746,13.75452719269741,12.9074884346105,0.033374034,
SHB-B.ST,Svenska Handelsbanken ser. B,Sweden,78333,98.4,SEK,Financial Services,Banks—Diversified,0.36331,0.51230997,-2150496959.599815,0.00452,0.095369995,0.9384282099002491,5117391795.880378,2.5845635284038875,0.061,5042340649.710003,1859224671.0159225,86711466253.44873,43.79304579874548,179170303011.423,88.253,21303682659.044243,115370739544.67598,12.163164,0.113,11.143828,,4.1629963,1.1149763,22.545,0.820342,13.177434443098676,9.79027699821768,12.060303982354041,12.110529727334495,0.040553905,
SWED-A.ST,Swedbank AB ser A,Sweden,2691712,170.58,SEK,Financial Services,Banks—Regional,0.44662,0.55336,821501664.0784614,0.00712,0.1337,2.021158606835839,5274801899.896212,4.708032849841954,0.097,4784707886.522308,2355814424.6035075,77572632794.48721,69.17294693411321,132056682849.60483,137.114,22186605391.832836,76783392400.0969,9.789946,0.148,9.29085,,4.2061496,1.2440743,14.557,0.795895,20.000468720766495,15.805961419160436,19.60407618091046,18.505022469055568,0.017119246,
SHB-A.ST,Svenska Handelsbanken ser. A,Sweden,3285866,95.26,SEK,Financial Services,Banks—Diversified,0.36331,0.51230997,-2150496959.599815,0.00452,0.095369995,0.9384282099002491,5117391795.880378,2.5845635284038875,0.061,5042340649.710003,1859224671.0159225,86711466253.44873,43.79304579874548,179170303011.423,88.253,21903574233.630123,113930647029.13513,11.775031,0.113,11.0,,4.2802224,1.0793967,22.263,0.820342,11.83185134855691,8.317095506779712,11.372497119730584,11.245406100459856,0.043049138,
AZA.ST,Avanza Bank Holding AB,Sweden,513659,341.3,SEK,Financial Services,Banks—Regional,0.53962004,0.64663005,-172257828.38596594,0.008590001,0.58233,1.2303965417072857,393815059.6626392,2.5451240239086976,0.444,271900583.9315431,212509330.10349274,85490925.92045532,0.5516890687621242,16239795.968607524,23.684,6134675599.769184,5492039902.23824,32.17686,0.605,20.400478,,15.577555,14.410572,13.946,0.79349,41.37668015715931,18.43216842436954,37.43176459976564,33.58633403247565,0.0024509805,2.24
SAVE.ST,Nordnet AB,Sweden,479349,165.3,SEK,Financial Services,Banks—Regional,0.40271,0.50338,-803612127.5566453,0.00961,0.37541,0.6958752572548323,442824306.5827696,1.7712977460045491,0.773,306368042.8938584,174122401.95208412,388896721.45500374,1.555540456707335,6431747800.636909,19.588,4793640093.533031,10149199369.604443,27.554592,1.21,,,10.825151,8.438841,22.919,,20.485342628972063,11.669453388870835,17.769849225527555,17.364740555178084,0.009370152,
