symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
CBA.AX,CWLTH BANK FPO,Australia,2351392,102.88,AUD,Financial Services,Banks—Diversified,0.42470002,0.54885,-14533613692.448637,0.00839,0.11739001,3.291029731239526,17527785797.5495,9.897218049779653,0.274,17527785984.73093,6465802106.525976,115597691910.29234,65.21956675563278,182732213126.1573,42.316,133454069465.08597,200427860234.18533,22.857143,0.546,18.570396,,7.6138577,2.4312315,11.435,0.662485,79.72027807088324,45.80095586866116,74.5006873688784,70.1592334802309,0.024112785,5.17
WBC.AX,WESTPAC FPO,Australia,5184302,25.88,AUD,Financial Services,Banks—Diversified,0.23064,0.45083,16265041909.19496,0.00489,0.06506,0.8810688349574824,14402002686.204456,3.9746806529700205,0.322,12433672646.018248,3321008100.542486,56430816256.69915,15.40005958661784,127551714905.84073,19.663,69359710082.66153,140254092248.78406,21.477177,1.893,10.738588,,4.8159766,1.3161775,9.739,0.752565,19.829532617466327,11.698839302340016,18.77643381292285,18.610256187697846,0.03423077,5.8
ANZ.AX,ANZ BANK FPO,Australia,4323967,27.7,AUD,Financial Services,Banks—Diversified,0.3008,0.47052,5477981316.139283,0.0046,0.08053,1.2042492706846253,12092943810.951523,4.265689280615728,0.227,10893812922.847744,3649306731.669046,201407960164.99533,70.89204146235491,173018521226.27274,22.022,57632479101.19546,29512707205.918938,16.818459,0.905,11.214575,,4.765794,1.2578331,2.44,0.915621,21.67209980758488,11.991310284898516,20.641139594066164,20.6471220880144,0.037674915,5.43
NAB.AX,NAT. BANK FPO,Australia,5074513,27.89,AUD,Financial Services,Banks—Diversified,0.288,0.49635,6382447970.087518,0.00577,0.08648,0.5885978523989821,11307659316.372663,3.476017627707777,0.162,10452181739.184408,3767757386.014524,99395530981.57532,30.189585997144807,163800569607.22983,18.661,67266830034.47582,127092093153.50754,34.64596,1.443,11.4773655,,5.948785,1.4945608,11.239,0.917081,21.11640494072373,12.108298677921915,20.198371429458135,19.52121117000807,0.021276597,6.37
BOQ.AX,BANK QLD FPO,Australia,2305365,9.46,AUD,Financial Services,Banks—Regional,0.18314,0.38085,-1526698528.955372,0.00311,0.04078,0.25810564210787657,702661535.5967972,1.5435156104524859,0.07,676339147.1665322,128687232.32574017,1921534355.4093475,4.232055117621501,8538690429.386133,9.734,4442846675.985352,9655048706.955496,26.798868,0.656,9.957895,,6.322883,0.9718512,13.741,0.923034,7.114356650735522,3.9898796387561295,6.851741837254049,6.590823355471416,0.03078556,6.66
BEN.AX,BEN ADE BK FPO,Australia,1978028,9.61,AUD,Financial Services,Banks—Regional,0.19804001,0.27715,-3357859257.163429,0.00374,0.049990002,0.3487716467010117,1074026542.3027744,2.0472968779095027,0.05,1045510644.9009993,212699522.06566942,6791175840.645521,12.802917261498356,3527858179.559307,11.401,3839300374.2933397,878795750.4810377,20.14675,0.673,11.045977,,3.5746791,0.8429085,0.818,1.035378,8.540152690708211,4.240829247098255,7.389361266215628,7.473144697411706,0.028925618,6.43
MYS.AX,MYSTATE FPO,Australia,132813,4.6,AUD,Financial Services,Banks—Regional,0.26048002,0.39148,-327187288.1881944,0.00575,0.09696999,0.2544497548258953,102010228.67854261,1.0996908944199615,0.151,102010222.82912296,26571719.942896158,84380072.00049655,0.8013704922102911,864090871.0222828,3.818,335152653.50630003,1172282192.2909813,13.21839,0.293,12.432432,,3.2854807,1.2048192,11.492,0.793614,3.9776053627956056,2.5785572565328034,3.741394317795295,3.4856428477437778,0.024509804,5.81
BBC.AX,BNKBANKING FPO,Australia,56018,0.8,AUD,Financial Services,Banks—Regional,0.126,0.17108,-50167547.638259575,0.00533,0.04112,0.03509651790702005,26118389.91993048,0.2807721432561604,0.049,25482265.532865744,3291029.7312395256,36825752.59139718,0.3853305195208243,13001797.529638136,1.208,52837989.04102787,36571767.86543355,16.666666,-0.274,,,2.0230186,0.6622517,1.4,0.881593,0.6397802743467196,0.4533300229656756,0.5787472469120476,0.5500959778536403,,
