symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
7161.T,JIMOTO HOLDINGS INC,Japan,30569,727.0,JPY,Financial Services,Banks—Regional,-0.0792,-0.05718,-484069759.3383226,-0.00123,-0.0279,-0.7832004937890593,364461073.2075611,20.423507970064037,-0.36,364461075.53429514,-31220045.331317022,1853552734.2070515,86.36934037497105,462592887.240182,6486.776,142057276.82296115,-1261404800.898696,,,,,0.38977352,0.11207417,-3.461,0.472636,11.088341948923691,5.644147828099682,6.2897125505748,6.378752299976853,0.041608877,3.3
8338.T,TSUKUBA BANK LTD,Japan,246122,188.0,JPY,Financial Services,Banks—Regional,0.07328,0.0938,,0.00089,0.021760002,0.05707769462232851,302120962.30698246,3.6607615616078997,0.027,304184121.59555584,22140328.678342715,5081741433.258791,61.57460805493402,3044749731.238762,1360.836,141019823.33856952,-1906475100.532119,29.936304,2.61,,,0.4667661,0.13815036,-6.31,0.82269,1.9540930483758965,1.5087416094437156,1.5975521391867908,1.6049686039657431,0.026737968,2.27
8537.T,TAIKO BANK,Japan,6747,1614.0,JPY,Financial Services,Banks—Regional,0.10065,0.14624,,0.00115,0.02427,1.489564231155003,170042452.17325822,18.004867926857493,-0.076,173450752.25677028,17114220.1635059,2273519071.8997602,240.70578156006476,1440466530.4812899,8423.295,137986032.04073757,-715859303.0518014,9.848069,1.668,,,0.8114799,0.19161148,-4.21,0.306157,14.996528045675486,10.933832266028855,12.534240834812127,12.81394335159324,0.03125,2.58
8551.T,KITA-NIPPON BANK,Japan,18457,1650.0,JPY,Financial Services,Banks—Regional,0.07238,0.13159001,1227197715.3367794,0.00099,0.02115,1.2042302908726177,191119386.60930482,22.633750806264946,0.026,191119388.93603885,13833161.021526115,2876561332.4384227,340.3006690841755,1608909269.2339168,8612.388,126732354.69707581,-1135354709.7731347,12.453206,,,,0.6631057,0.1915845,-5.941,0.374792,20.677031093279837,13.833161021526115,14.443149798626646,16.02127534449502,0.033639144,2.54
8365.T,TOYAMA BANK,Japan,5815,2408.0,JPY,Financial Services,Banks—Regional,0.06397,0.11729,-189419791.1494483,0.0011100001,0.01822,0.9347835815137718,79427068.72124062,14.61371667309621,0.275,79427065.81282307,5080641.925777331,364670106.9944602,67.08490505362239,230664781.86065885,6031.881,118980188.72963504,-8141045.825970217,23.412737,,,,1.4979804,0.39921212,-0.102,0.70702,33.446801944294414,16.905177069670547,18.624519012421878,22.892411830877244,0.020721095,1.58
8542.T,TOMATO BANK,Japan,7253,1143.0,JPY,Financial Services,Banks—Regional,0.07855,0.11431,,0.00133,0.033689998,0.7823825013502043,198781247.37486303,17.30074912429596,0.054,196136409.227683,14024026.505609132,1132256021.2092276,98.55131094822929,243789013.77510992,4509.189,119374300.24967207,-777362813.4579738,13.278037,0.711,,,0.600531,0.2534824,-3.911,0.252565,11.779091119512382,9.043360851786126,9.79591389553275,9.756736602114032,0.044014085,4.07
8383.T,TOTTORI BANK,Japan,5687,1158.0,JPY,Financial Services,Banks—Regional,0.092,0.1469,,0.0011100001,0.02471,0.966903417946146,117554598.7782424,12.556565666229455,0.066,116454856.87832727,10815677.802638683,1126793668.674207,120.35822590849469,579538561.1041123,5270.304,98543403.97882877,-450532289.22163403,10.885096,0.698,,,0.83827776,0.21972166,-3.833,0.436716,11.997222436540389,10.015862973535992,10.28774820924311,10.296471644163256,0.042918455,3.91
8521.T,NAGANO BANK,Japan,11371,1190.0,JPY,Financial Services,Banks—Regional,0.056220002,0.08438,224475297.01473647,0.00104,0.022739999,1.0252171900316331,192055534.09323353,21.296905763444176,-0.162,192055535.83828405,10797500.192886349,1029234417.3561915,113.9966078234704,444642524.94887733,5998.577,97664056.72648713,-491002012.1479515,10.549645,-0.499,,,0.5085199,0.19838038,-2.557,0.382072,14.451199753105469,9.62504436386081,10.435505818995445,10.851842157240952,0.042052146,3.42
8349.T,TOHOKU BANK,Japan,14511,1057.0,JPY,Financial Services,Banks—Regional,0.10691,0.15843001,,0.00141,0.03619,0.5928627420723709,121908141.54907799,12.863621850165881,0.094,119026988.65828252,13033346.192423422,1681965144.4869993,177.4629597253298,707708883.9777176,4230.792,91053302.72071598,-887941723.9553736,16.204199,0.672,,,0.7469009,0.24983501,-7.284,0.496579,11.815446339017049,9.025183242033792,9.282526389939047,9.566635159324123,0.04725898,3.88
8398.F,CHIKUHO BANK,Japan,1020,1600.0,JPY,Financial Services,Banks—Regional,0.07205,0.11431,,0.00149,0.03373,1.7325988735437077,154646015.54966435,25.42475009644317,0.037,153973443.4071445,11142874.778180694,1084821545.6520946,179.16599271661136,416703512.00209856,6594.1,88881529.16003393,-558476890.0434225,8.393222,0.295,,,0.5747418,0.24264115,-3.611,0.163625,17.950389630429747,13.633207314250441,14.673745502661829,15.333640907337394,0.031230481,
8563.T,DAITO BANK,Japan,21165,690.0,JPY,Financial Services,Banks—Regional,0.102919996,0.16153,,0.00139,0.032509997,0.8621004089190647,113828194.59584907,8.982629457603577,0.139,112801157.31810816,11715468.9036957,1736225327.0482213,137.01097051153457,1030034292.6803794,3137.558,79472737.85714065,-624541506.5114111,7.2744145,1.359,,,0.6981815,0.21991624,-5.487,0.765678,7.53461924234241,5.289684437929171,5.80982401666538,5.804632036879869,0.04347826,3.66
8416.T,BANK OF KOCHI LTD (THE),Japan,7247,858.0,JPY,Financial Services,Banks—Regional,0.042969998,0.08918,49043188.78506287,0.0008,0.012940001,0.25739495409304836,185484334.56628343,18.339363212715064,-0.018,185484329.91281533,7970881.876398425,1459898370.8758273,144.34234589923616,961659210.6885579,7173.424,78877177.7032019,-395823735.70236856,30.29661,,,,0.42524981,0.11960816,-2.134,0.806162,8.334434071445104,6.271275364555203,7.326875520407375,7.51529780649641,0.02913753,2.54
8562.T,FUKUSHIMA BANK,Japan,106922,257.0,JPY,Financial Services,Banks—Regional,-0.06632,-0.05999,,-0.001,-0.02755,-0.6829782424195663,110601665.95639223,3.953621032327752,0.476,101512861.66190879,-7334665.535066738,924186060.6222358,33.03545172440398,282934489.9782424,1052.52,65346981.88547179,-578583408.856477,,,,,0.5908318,0.24417588,-5.231,0.740022,2.8629735359925927,1.7177841215955556,2.218966725561299,2.213282950543939,0.007782101,
8540.F,FUKUOKA CHUO BANK,Japan,561,2241.0,JPY,Financial Services,Banks—Regional,0.02115,0.03867,25630429.75079083,0.00037,0.00936,0.586282447342026,75218946.82842372,27.72614455674716,-0.083,72801327.05809736,1590540.8533292182,168942707.3649255,62.297704282076985,84525883.0216187,7058.253,55159832.894869216,-28072462.778118968,34.740955,,,,0.73332363,0.31750065,-0.373,0.074626,23.17645243422575,19.46822004474963,20.449032060797773,20.874315418563377,0.02232143,
8554.F,MINAMI-NIPPON BANK,Japan,2668,679.0,JPY,Financial Services,Banks—Regional,0.11529,0.13696,,0.00198,0.03932,0.8281082786822003,132123955.9031556,16.42107096674639,-0.017,132796528.04567547,13596852.094745774,1635548549.9274435,203.26870343337703,272664155.591945,5359.678,49663091.230614915,-1312982947.815508,7.452285,-0.037,,,0.37588257,0.1266867,-9.938,0.208665,7.089267803410229,5.971344803641693,6.119881596636062,6.402904344726486,0.036764707,
8560.F,MIYAZAKI TAIYO BANK,Japan,1517,980.0,JPY,Financial Services,Banks—Regional,0.09215,0.11738,471481755.85957867,0.0017299999,0.028239999,0.6307721472108632,122498908.63087723,23.1698357842759,-0.123,122498912.1209783,9879531.482076999,1307742621.5503123,247.29803715762668,659438273.2729881,9121.599,47104288.72833885,-590151595.4949154,14.120833,,,,0.38452822,0.107437305,-4.818,0.329532,9.815909266260318,8.388966900702105,8.729927053468096,8.879762364015122,0.051072523,
7150.T,THE SHIMANE BANK LTD,Japan,11936,630.0,JPY,Financial Services,Banks—Regional,0.05572,0.06826,,0.00086000003,0.025409998,0.8889578273281382,70301906.29883495,8.448462217421493,0.033,69774755.03433377,3826386.8528662906,667527266.5681968,80.26166349818685,327333322.15724087,2136.852,47559714.34401666,-295858213.2593472,6.441191,1.423,,,0.67650676,0.2948262,-4.208,1.026225,7.725484144741917,4.907954633130159,5.421342138723863,5.92361221819304,0.016233766,3.29
8559.F,HOWA BANK,Japan,652,670.0,JPY,Financial Services,Banks—Regional,0.10569999,0.113850005,,0.00162,0.04617,0.2563042975079083,74719066.63201912,12.638383087724712,0.073,73064902.3995062,4444425.584445644,475380840.93610054,80.4326057402978,135595880.5292184,3290.358,35918849.84084561,-307017248.36886036,23.758865,0.204,,,0.48071867,0.20362526,-4.109,0.018487,6.116765681660365,4.907954633130159,5.894998842681891,5.760776735591389,0.0153139355,
